1571829281,3,5,1,"CK,C2,CA,CQ;DK,D5,DJ,DA;DQ,SQ,D10,D9;D7,HA,D6,D8;D3,H9,D2,D4;C10,CJ,C5,C6;C8,C9,HJ,C4;C3,C7,H8,HQ;S4,SK,S9,SA;HK,S10,S8,SJ;H10,S7,S6,S5;H7,S2,H6,S3;H2,H5,H4,H3"
1571829281,3,13,1,"CA,C2,CK,C10;D6,DA,D4,DK;D3,DJ,SQ,DQ;D2,D10,HA,D9;HK,D8,H4,D7;C5,C9,CQ,C7;H10,C6,CJ,HQ;H9,HJ,C8,H8;H5,H6,C4,H7;H2,S9,C3,H3;SA,S8,SK,S10;SJ,S7,S3,S6;S5,S4,S2,D5"
1571829281,3,2,1,"C10,CA,C2,CJ;DA,D7,DK,D10;DQ,SQ,DJ,D3;D5,HA,D9,HK;D2,H8,D8,H9;HJ,H3,D6,H4;H7,SK,D4,H2;C8,CK,C7,C9;H5,CQ,HQ,C6;SA,C4,H10,C5;SJ,S6,H6,C3;S9,S3,S7,S10;S5,S2,S4,S8"
1571829281,3,5,1,"C2,CK,CA,C9;DA,D8,DQ,DK;DJ,SQ,D10,D9;D7,H7,D4,D5;D6,H5,D2,HA;D3,SJ,HK,HJ;C8,CJ,CQ,C5;C4,C7,C10,H9;H10,C3,C6,H2;S7,S10,S8,SA;H8,S5,S2,SK;H6,S4,HQ,S9;H3,S3,H4,S6"
1571829281,3,1,1,"C2,C7,CK,CQ;DK,DA,DQ,DJ;D5,D10,D7,D9;HQ,D3,D6,D8;CA,C6,HK,C8;CJ,HA,H7,C4;C10,H10,H5,C3;C9,H9,H3,SQ;C5,H2,SA,HJ;S9,SJ,SK,S6;H8,S10,D4,S4;H6,S8,D2,S3;H4,S5,S7,S2"
1571829281,3,8,1,"C2,C10,CA,C7;DQ,DA,D10,DK;DJ,D8,D9,D7;D6,D3,D5,HA;D4,D2,SQ,H5;CQ,C8,CK,H3;C6,C5,CJ,H2;C4,HK,C9,SA;HQ,S3,S9,SK;H8,S2,S8,SJ;H6,HJ,S7,S10;H4,H10,S4,S6;C3,H7,H9,S5"
1571829281,3,0,1,"CQ,CJ,C2,CK;DK,DA,DJ,D5;DQ,D10,D8,HJ;D3,D9,D6,H9;D2,D7,D4,H8;C8,C10,CA,C4;C7,C9,C5,SA;H7,C6,C3,S10;S6,SJ,S2,S8;SK,S9,HK,S7;H5,HA,H10,S5;H3,SQ,H6,S4;H2,HQ,H4,S3"
1571829281,3,26,1,"C2,CQ,CA,C10;DJ,DK,D9,DA;D5,D10,D7,DQ;D3,D8,D4,D2;HK,D6,SQ,HA;CK,C5,CJ,C9;C8,C4,C3,C7;SJ,SA,S6,S8;S7,SK,HQ,S5;S2,S10,HJ,S4;H9,S9,H6,S3;H7,H10,H5,H3;H2,H8,H4,C6"
1571829281,3,0,1,"CA,CJ,C2,CQ;DK,DA,HJ,D9;DQ,DJ,H7,D6;D8,D10,H6,D5;D7,D4,H2,D3;CK,C4,C10,C7;C9,HQ,C8,HA;S9,SJ,S5,S6;SQ,S10,SA,H10;HK,H8,C6,H9;H3,S7,C5,H5;S8,S3,C3,H4;S4,S2,SK,D2"
1571829281,3,10,1,"C2,C7,CQ,CA;D6,DA,DQ,D10;D5,DK,DJ,D4;SQ,D9,D8,D3;C10,C5,HA,CK;C6,H10,H5,CJ;C4,H8,H3,C9;HK,H6,SA,C8;HQ,H2,D7,C3;S5,SK,S6,SJ;HJ,S9,S4,S10;H9,S8,S3,S2;H7,S7,D2,H4"
